Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1204,,,,,12.355691524167902,0.12525181984933198,0,0,1.4108111000944552,,
0.024209999999962747,1204,,,,,12.355463454184543,0.12485967282187183,0,0,1.4017053224598368,,
0.04747999999986496,1204,,,,-10.11413798376636,12.355264522341594,0.123943738691068,0,0,1.3957524735381097,,
0.07343999999994412,1204,,,,,12.35555015494858,0.12588450641048804,0,0,1.4182626921179646,,
0.09545499999995809,1204,,,,,12.354081089852722,0.13217851087032437,6,0,1.4874271252068445,,
0.1339100000000326,1204,,,,,12.354245478937221,0.12605773496374506,2435,0,1.4325005714959786,,
0.15940999999991617,1204,,,,,12.354338729997878,0.12539426639528167,3209,0,1.4158578737341767,,
0.1826700000000419,1204,,,,,12.354413961561795,0.12312903897668218,3343,0,1.3805303850075308,,
0.20730999999993946,1204,,,,-10.09021827661888,12.354332197261622,0.12400483980798414,3365,0,1.392317005787003,,
0.22972999999998137,1204,,,,,12.354288832709365,0.12457348755810796,3369,0,1.3975517213737438,,
0.25950500000000465,1204,,,,,12.354433530941847,0.12269298236744312,3370,0,1.3845385710933134,,
0.2874349999999395,1204,,,,,12.354323259286772,0.12101182220034253,3370,0,1.3606548934922311,,
0.31234499999997206,1204,,,,,12.354423018197766,0.12018242869714547,3370,0,1.3485717669608592,,
0.5016999999999534,1204,,,,-10.44856285960616,12.354524044670878,0.12085407868239834,3370,0,1.3752677005958782,,
0.3375549999999348,1204,,,,,12.35462619403259,0.1200041067668001,3370,0,1.3588063148034462,,
0.3595400000000373,1204,,,,-10.347156958307826,12.354910400018587,0.12130312407682561,3370,0,1.368161168700392,,
0.3816850000000559,1204,,,,,12.35509106690318,0.12413559346607726,3370,0,1.4139591356977004,,
0.4046199999999953,1204,,,,,12.355171746421389,0.12293768532644739,3370,0,1.407028361506085,,
0.426765000000014,1204,,,,,12.355149662879331,0.12402733345299713,3370,0,1.4273029746481944,,
0.4510499999999302,1204,,,,,12.355182884372738,0.12236035535435978,3370,0,1.4068662105669605,,
0.4752299999999814,1204,,,,,12.354741616393724,0.12158360844075113,3370,0,1.3935300408821307,,
0.5265200000000186,1204,,,,,12.354484722023885,0.12161512075732198,3370,0,1.3951970506607398,,
0.5516300000000046,1204,,,,,12.35451157976284,0.12248981647237994,3370,0,1.4018824730526078,,
0.5735899999999674,1204,,,,,12.354425814249526,0.12116014767572954,3370,0,1.3657610213441858,,
0.5981799999999348,1204,,,,,12.354431088967132,0.12288699986472171,3155,0,1.3824680314847724,,
0.625265000000014,1204,,,,,12.354065802592865,0.1255540215028569,0,0,1.4147576940105886,,
0.6515399999999208,1204,,,,-10.486184672325471,12.354160387058322,0.12669291338551333,0,0,1.437939178038952,,
0.6746799999999348,1204,,,,,12.354240847022563,0.1258424542422316,0,0,1.419453423561043,,
0.7016750000000466,1204,,,,,12.354159571722342,0.12349408283899173,0,0,1.389761949313323,,
0.7268000000000465,1204,,,,,12.35409926413641,0.12352411286538087,0,0,1.3936305623285106,,
0.7508499999999767,1204,,,,,12.354164806732085,0.12496255752775967,0,0,1.4118339176916777,,
0.7739699999999721,1204,,,,,12.353727682854588,0.12626019249158613,10,0,1.4251787804269258,,
0.8029549999999581,1204,,,,-10.215390489641948,12.354086244295868,0.1295673150154419,63,0,1.465773365290747,,
0.8317849999999162,1204,,,,,12.353845288065624,0.12659982973491207,72,0,1.4264413156091726,,
0.8542549999998882,1204,,,,,12.354025166753356,0.1253967439832721,74,0,1.4126262964702763,,
0.8759049999999116,1204,,,,,12.354150508513632,0.12461972161102802,74,0,1.406781153717868,,
0.9009999999998836,1204,,,,,12.353971444819079,0.12426625074997413,74,0,1.4061195736768082,,
0.9255249999999069,1204,,,,,12.354046915361938,0.12499467131720145,74,0,1.4029009337890987,,
0.9535550000000512,1204,,,,-10.102808630106301,12.354389002960078,0.12411677892234985,74,0,1.3846215368994348,,
0.976890000000014,1204,,,,,12.354556604401006,0.12444875366612781,74,0,1.3837490143155204,,
1.0007299999999815,1204,,,,,12.354714184698134,0.12441407242729918,74,0,1.3835358122477257,,
1.0227700000000186,1204,,,,,12.354600614571039,0.12045352692437092,74,0,1.3440306900868448,,
1.0470100000000093,1204,,,,,12.354375644476471,0.12041845155257282,74,0,1.343777817194232,,
1.0761099999999861,1204,,,,,12.355046316940062,0.12177853903155492,74,0,1.3685305866219584,,
1.101390000000014,1204,,,,-10.621375746888768,12.355149850212932,0.12146309759467089,74,0,1.3611683621434147,,
1.1296199999999954,1204,,,,,12.355322808805603,0.11878518447368133,74,0,1.3305223584836363,,
1.153064999999944,1204,,,,,12.355421004268148,0.12010478735797551,74,0,1.3463495983098954,,
1.17642499999993,1204,,,,,12.355249025983204,0.12161285847639335,74,0,1.3729769872815214,,
1.2044049999999116,1204,,,,,12.354874577150952,0.12412465529229792,74,0,1.4034794930947023,,
1.2297199999999722,1204,,,,,12.354778499642032,0.12459593101115998,74,0,1.4120118851405299,,
1.2532750000000232,1204,,,,-10.838446831572556,12.354398869975912,0.12385709559196419,74,0,1.39972640353032,,
1.2759649999999674,1204,,,,,12.354383852091253,0.12532342122997792,57,0,1.4139866761249562,,
1.3024949999999953,1204,,,,,12.354327759828774,0.12467639621347909,0,0,1.4112176775756138,,
1.3276449999999023,1204,,,,,12.354755282234859,0.12509248531463932,0,0,1.4172387927821541,,
