Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
3598.1807286489993,1280,,,,-14.854306907191226,12.214171340221881,0.27224626025187215,7570,0,3.199114490764147,4.643221968889819,3 prop 3x3 bull,king kong 1306-3100kv
814.4009176489996,1368,,,,-68.89377885392612,12.153143651183372,1.1263417769462134,7648,0,13.56647945733339,5.078277907575724,"2 prop 5x4,5 bull",king kong 1306-3100kv
1122.7076956489996,1349,,,,-49.182838127704876,12.175995885604951,0.9670609311649395,7566,0,11.646589975104002,4.223322898002741,"2 prop 4x4,5 bull",king kong 1306-3100kv
3019.934980649,1311,,,,-45.81562473597563,12.173420973232567,0.5402305570643688,7530,0,6.481061376644014,7.069243708440214,2 prop 5x3,king kong 1306-3100kv
2807.4283406489994,1362,,,,-66.38680236245406,12.119502778451295,1.071656361819437,7785,0,12.822588401367042,5.17736167404293,2 prop 4x4,king kong 1306-3100kv
4241.513521649,1349,,,,-58.13682007889243,12.033286438179896,0.9257677746673785,7422,0,11.015792652230804,5.27760424606874,"2 prop 5x4,5",king kong 1306-3100kv
4738.663552649001,1349,,,,-61.9803269559117,12.047661422116128,0.968479777507234,7588,0,11.519008926353811,5.380765599730432,2 prop 5x4,king kong 1306-3100kv
0,1349,,,,-52.38301058522349,11.110652943552976,0.7604717276129362,7722,0,8.339186052601134,6.282051499870652,2 prop 5x3 carbon,king kong 1306-3100kv
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
vekt dronen,"258,4",,,,,,,,,,,,
