Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
5641.388296462001,1000,,,,,12.589941127205119,0,0,0,0.10026499281023163,,,
5641.412221462,1000,,,,-0.917027470104721,12.590058163683526,0,0,0,0.10118940509199237,,,
5641.439311462001,1000,,,,,12.590266854531475,0,0,0,0.0914482306273534,,,
5641.461951462001,1000,,,,,12.59004701974711,0,0,0,0.09366792048156639,,,
5641.487141462,1000,,,,,12.589404353118258,0,0,0,0.11813697408719034,,,
5641.509551462002,1000,,,,,12.589483781336828,0,0,0,0.10670904559662076,,,
5641.539956462,1000,,,,,12.589387647315242,0,0,0,0.09527492647137162,,,
5641.567711462,1000,,,,-1.1860503838660597,12.589165887688443,0,0,0,0.09976340621299684,,,
5641.590666462001,1000,,,,,12.589291521611464,0,0,0,0.1003355884432662,,,
5641.616576462001,1000,,,,,12.589256458258276,0,0,0,0.10634421042373834,,,
5641.638971462001,1000,,,,,12.589465730633295,0,0,0,0.11432929434028369,,,
5641.660776462001,1000,,,,,12.589827960762701,0,0,0,0.10487113756044766,,,
5641.686506462001,1000,,,,,12.589810960541735,0,0,0,0.10310035568747662,,,
5641.708846462,1000,,,,-1.215261362977198,12.589909404457542,0,0,0,0.10661847384558684,,,
5641.735771462,1000,,,,,12.589612373862689,0,0,0,0.11495687840818544,,,
5641.761876462,1000,,,,,12.589456025116924,0,0,0,0.11390095799033706,,,
5641.791861462001,1000,,,,,12.589679785977005,0,0,0,0.09605919577975008,,,
5641.816486462001,1000,,,,,12.5900758167133,0,0,0,0.09473316632499106,,,
5641.838886462,1000,,,,,12.589991032515092,0,0,0,0.10425823522766753,,,
5641.8610864620005,1000,,,,-1.2284804149175026,12.589892500624252,0,0,0,0.09595147927860836,,,
5641.884576462001,1000,,,,,12.589675277820442,0,0,0,0.09378177307253628,,,
5641.918001462001,1000,,,,,12.589850077322765,0,0,0,0.09510269049574335,,,
5641.943136462,1000,,,,,12.590112274016244,0,0,0,0.08000329819298925,,,
5641.968746462,1000,,,,,12.5899024014042,0,0,0,0.0703496317464449,,,
5641.989986462,1000,,,,,12.589818579202356,0,0,0,0.0690664791925629,,,
5642.018681462,1022,,,,-1.2340097312558278,12.589684924897718,0,0,0,0.06841821851536946,,,
5642.040956462,1022,,,,,12.589580951909626,0,0,0,0.06893034066855998,,,
5642.068581462,1028,,,,,12.589249755542973,0,0,0,0.08270295840997706,,,
5642.0921464620005,1035,,,,,12.589136404221563,0,0,0,0.09294435007079543,,,
5642.117646462,1035,,,,,12.58888444965821,0,0,0,0.10392721072100905,,,
5642.139361462,1041,,,,-0.4544681957942559,12.588808235154211,0,0,0,0.10490572109650968,,,
5642.1609114620005,1041,,,,,12.588783551820658,0,0,0,0.11450826434980246,,,
5642.186371462,1041,,,,,12.588895911981666,0,0,0,0.09746444693995494,,,
5642.209811462,1047,,,,,12.588662800930075,0,0,0,0.08884593513581995,,,
5642.237196462001,1047,,,,,12.58848157620424,0,0,0,0.09491223256165691,,,
5642.259786462,1053,,,,,12.588806129850287,0,0,0,0.1116036593152504,,,
5642.293591462,1053,,,,,12.588943107180478,0,0,0,0.12819271416101183,,,
5642.316456462,1053,,,,0.01276027844994797,12.588978069464725,0,0,0,0.1249345448632273,,,
5642.340561462001,1053,,,,,12.588879309959252,0,0,0,0.10757794289228167,,,
5642.366676462,1060,,,,,12.588932775767075,0,0,0,0.10341070581538035,,,
5642.390176462,1060,,,,,12.58880899698579,0,0,0,0.09401249809159634,,,
5642.411656462001,1060,,,,,12.58890328551727,0,0,0,0.09480701914648162,,,
5642.438266462001,1060,,,,,12.589187827582858,0,0,0,0.10478467363536868,,,
5642.462241462001,1066,,,,0.3592742668455419,12.589522505677097,0,0,0,0.09857069977507754,,,
5642.4925664620005,1091,,,,,12.589652514981536,0,0,0,0.10712391296343877,,,
5642.5163264620005,1104,,,,,12.589701967911655,0,0,0,0.09188794982247081,,,
5642.542801462,1110,,,,,12.589499270877194,0,0,0,0.10270215733666946,,,
5642.566036462001,1110,,,,,12.589164960107595,0,0,0,0.1054400777264043,,,
5642.590911462001,1110,,,,,12.588828892211517,0,0,0,0.09551041894447602,,,
5642.615166462,1110,,,,0.017656017743682386,12.588950624042209,0,0,0,0.0926072845562002,,,
5642.639976462001,1110,,,,,12.58909995206257,0,0,0,0.09100988580961095,,,
5642.667001462,1110,,,,,12.589106715542373,0,0,0,0.09426117999271197,,,
5642.688426462,1110,,,,,12.588931751681034,0,0,0,0.09331206593720015,,,
5642.7119264620005,1110,,,,,12.588930559121328,0,0,0,0.09161252882017404,,,
5642.735936462001,1110,,,,,12.589172082742799,0,0,0,0.11645960873545377,,,
5642.758396462001,1110,,,,0.35843678081378083,12.589205809540905,0,0,0,0.11335714384518854,,,
5642.786141462,1135,,,,,12.589111875431247,0,0,0,0.10171468826180723,,,
5642.811416462,1142,,,,,12.58922341189529,0,0,0,0.10917027485549041,,,
5642.8440914620005,1148,,,,,12.589314886601203,0,0,0,0.11308500666366558,,,
5642.872196462001,1148,,,,,12.58914378309941,0,0,0,0.12639206907789097,,,
5642.893376462001,1148,,,,0.8027464931469368,12.588909089221666,0,0,0,0.12691392246910427,,,
5642.916071462001,1148,,,,,12.5891161580749,0,0,0,0.12601822578528327,,,
5642.937671462,1148,,,,,12.589015099989396,0,0,0,0.12028419146515322,,,
5642.959546462001,1148,,,,,12.589162774640151,0,0,0,0.1124892742770005,,,
